Day,Month,AQI,Year,Date,AQI_Category,Season,Month_Num
26,February,100,2025,26-02-2025,Satisfactory,Winter,2
27,February,98,2025,27-02-2025,Satisfactory,Winter,2
28,February,84,2025,28-02-2025,Satisfactory,Winter,2
1,March,96,2025,01-03-2025,Satisfactory,Summer,3
2,March,76,2025,02-03-2025,Satisfactory,Summer,3
3,March,74,2025,03-03-2025,Satisfactory,Summer,3
4,March,78,2025,04-03-2025,Satisfactory,Summer,3
5,March,82,2025,05-03-2025,Satisfactory,Summer,3
6,March,85,2025,06-03-2025,Satisfactory,Summer,3
7,March,97,2025,07-03-2025,Satisfactory,Summer,3
8,March,93,2025,08-03-2025,Satisfactory,Summer,3
9,March,76,2025,09-03-2025,Satisfactory,Summer,3
10,March,76,2025,10-03-2025,Satisfactory,Summer,3
11,March,102,2025,11-03-2025,Moderate,Summer,3
12,March,111,2025,12-03-2025,Moderate,Summer,3
13,March,86,2025,13-03-2025,Satisfactory,Summer,3
14,March,80,2025,14-03-2025,Satisfactory,Summer,3
15,March,95,2025,15-03-2025,Satisfactory,Summer,3
16,March,62,2025,16-03-2025,Satisfactory,Summer,3
17,March,68,2025,17-03-2025,Satisfactory,Summer,3
18,March,68,2025,18-03-2025,Satisfactory,Summer,3
19,March,72,2025,19-03-2025,Satisfactory,Summer,3
20,March,70,2025,20-03-2025,Satisfactory,Summer,3
21,March,76,2025,21-03-2025,Satisfactory,Summer,3
22,March,78,2025,22-03-2025,Satisfactory,Summer,3
23,March,74,2025,23-03-2025,Satisfactory,Summer,3
24,March,48,2025,24-03-2025,Good,Summer,3
25,March,49,2025,25-03-2025,Good,Summer,3
26,March,47,2025,26-03-2025,Good,Summer,3
27,March,54,2025,27-03-2025,Satisfactory,Summer,3
28,March,58,2025,28-03-2025,Satisfactory,Summer,3
29,March,83,2025,29-03-2025,Satisfactory,Summer,3
30,March,70,2025,30-03-2025,Satisfactory,Summer,3
31,March,67,2025,31-03-2025,Satisfactory,Summer,3
